[2019/01/19][14:20:52:937][INFO]	: Created EyeTracker (1)
[2019/01/19][14:21:31:493][INFO]	: Deleted EyeTracker (1)
[2019/01/19][14:21:31:516][INFO]	: All Neurable Objects destroyed


[2019/01/19][14:21:43:376][INFO]	: Created EyeTracker (2)
[2019/01/19][14:22:20:024][INFO]	: Deleted EyeTracker (2)
[2019/01/19][14:22:20:046][INFO]	: All Neurable Objects destroyed


[2019/01/19][14:24:39:365][INFO]	: Created EyeTracker (3)
[2019/01/19][14:46:28:402][INFO]	: Deleted EyeTracker (3)
[2019/01/19][14:46:28:427][INFO]	: All Neurable Objects destroyed


