[2019/01/19][16:02:23:950][WARNING]	: Duplicate record detected: 15.693088,
[2019/01/19][16:02:23:952][WARNING]	: Duplicate record detected: 15.709755,
[2019/01/19][16:02:23:952][WARNING]	: Duplicate record detected: 15.709755,
[2019/01/19][16:02:23:952][WARNING]	: Duplicate record detected: 15.716422,
[2019/01/19][16:02:23:952][WARNING]	: Duplicate record detected: 15.716422,
[2019/01/19][16:02:23:953][WARNING]	: Duplicate record detected: 15.733088,
[2019/01/19][16:02:23:953][WARNING]	: Duplicate record detected: 15.733088,
[2019/01/19][16:02:23:954][WARNING]	: Duplicate record detected: 15.739755,
[2019/01/19][16:02:23:954][WARNING]	: Duplicate record detected: 15.739755,
[2019/01/19][16:02:23:955][WARNING]	: Duplicate record detected: 15.756422,
[2019/01/19][16:02:23:955][WARNING]	: Duplicate record detected: 15.756422,
[2019/01/19][16:02:23:955][WARNING]	: Duplicate record detected: 15.763088,
[2019/01/19][16:02:23:955][WARNING]	: Duplicate record detected: 15.763088,
[2019/01/19][16:02:23:956][WARNING]	: Duplicate record detected: 15.779755,
[2019/01/19][16:02:23:957][WARNING]	: Duplicate record detected: 15.779755,
[2019/01/19][16:02:23:957][WARNING]	: Duplicate record detected: 15.786422,
[2019/01/19][16:02:23:957][WARNING]	: Duplicate record detected: 15.786422,
[2019/01/19][16:02:23:959][WARNING]	: Duplicate record detected: 15.803088,
[2019/01/19][16:02:23:959][WARNING]	: Duplicate record detected: 15.803088,
[2019/01/19][16:02:23:959][WARNING]	: Duplicate record detected: 15.809755,
[2019/01/19][16:02:23:959][WARNING]	: Duplicate record detected: 15.809755,
[2019/01/19][16:02:23:960][WARNING]	: Duplicate record detected: 15.826422,
[2019/01/19][16:02:23:960][WARNING]	: Duplicate record detected: 15.826422,
[2019/01/19][16:02:23:962][WARNING]	: Duplicate record detected: 15.849755,
[2019/01/19][16:02:23:962][WARNING]	: Duplicate record detected: 15.849755,
[2019/01/19][16:02:23:964][WARNING]	: Duplicate record detected: 15.873088,
[2019/01/19][16:02:23:964][WARNING]	: Duplicate record detected: 15.873088,
[2019/01/19][16:02:23:966][WARNING]	: Duplicate record detected: 15.896422,
[2019/01/19][16:02:23:966][WARNING]	: Duplicate record detected: 15.896422,
[2019/01/19][16:02:23:968][WARNING]	: Duplicate record detected: 15.919755,
[2019/01/19][16:02:23:968][WARNING]	: Duplicate record detected: 15.919755,
[2019/01/19][16:02:23:970][WARNING]	: Duplicate record detected: 15.943088,
[2019/01/19][16:02:23:970][WARNING]	: Duplicate record detected: 15.943088,
[2019/01/19][16:02:23:972][WARNING]	: Duplicate record detected: 15.966422,
[2019/01/19][16:02:23:972][WARNING]	: Duplicate record detected: 15.966422,
[2019/01/19][16:02:23:973][WARNING]	: Duplicate record detected: 15.986422,
[2019/01/19][16:02:23:973][WARNING]	: Duplicate record detected: 15.986422,
[2019/01/19][16:02:23:975][WARNING]	: Duplicate record detected: 16.009755,
[2019/01/19][16:02:23:975][WARNING]	: Duplicate record detected: 16.009755,
[2019/01/19][16:02:23:977][WARNING]	: Duplicate record detected: 16.033088,
[2019/01/19][16:02:23:977][WARNING]	: Duplicate record detected: 16.033088,
[2019/01/19][16:02:23:979][WARNING]	: Duplicate record detected: 16.056422,
[2019/01/19][16:02:23:979][WARNING]	: Duplicate record detected: 16.056422,
[2019/01/19][16:02:23:981][WARNING]	: Duplicate record detected: 16.079755,
[2019/01/19][16:02:23:981][WARNING]	: Duplicate record detected: 16.079755,
[2019/01/19][16:02:23:982][WARNING]	: Duplicate record detected: 16.103088,
[2019/01/19][16:02:23:982][WARNING]	: Duplicate record detected: 16.103088,
[2019/01/19][16:02:23:985][WARNING]	: Duplicate record detected: 16.126422,
[2019/01/19][16:02:23:985][WARNING]	: Duplicate record detected: 16.126422,
[2019/01/19][16:02:23:987][WARNING]	: Duplicate record detected: 16.149755,
[2019/01/19][16:02:23:987][WARNING]	: Duplicate record detected: 16.149755,
[2019/01/19][16:02:23:990][WARNING]	: Duplicate record detected: 16.173088,
[2019/01/19][16:02:23:990][WARNING]	: Duplicate record detected: 16.173088,
[2019/01/19][16:02:23:993][WARNING]	: Duplicate record detected: 16.196422,
[2019/01/19][16:02:23:993][WARNING]	: Duplicate record detected: 16.196422,
[2019/01/19][16:02:23:997][WARNING]	: Duplicate record detected: 16.236422,
[2019/01/19][16:02:23:997][WARNING]	: Duplicate record detected: 16.236422,
[2019/01/19][16:02:24:000][WARNING]	: Duplicate record detected: 16.259755,
[2019/01/19][16:02:24:000][WARNING]	: Duplicate record detected: 16.259755,
[2019/01/19][16:02:24:002][WARNING]	: Duplicate record detected: 16.283088,
[2019/01/19][16:02:24:002][WARNING]	: Duplicate record detected: 16.283088,
[2019/01/19][16:02:24:004][WARNING]	: Duplicate record detected: 16.306422,
[2019/01/19][16:02:24:004][WARNING]	: Duplicate record detected: 16.306422,
[2019/01/19][16:02:24:005][WARNING]	: Duplicate record detected: 16.329755,
[2019/01/19][16:02:24:006][WARNING]	: Duplicate record detected: 16.329755,
[2019/01/19][16:02:24:007][WARNING]	: Duplicate record detected: 16.353088,
[2019/01/19][16:02:24:007][WARNING]	: Duplicate record detected: 16.353088,
[2019/01/19][16:02:24:009][WARNING]	: Duplicate record detected: 16.376422,
[2019/01/19][16:02:24:009][WARNING]	: Duplicate record detected: 16.376422,
[2019/01/19][16:02:24:014][WARNING]	: Sensors supplied duplicate data at time 30.2964 (classHeadset)
[2019/01/19][16:02:24:103][WARNING]	: Sensors supplied duplicate data at time 30.3664 (classHeadset)
[2019/01/19][16:02:24:103][WARNING]	: Sensors supplied duplicate data at time 30.3798 (classHeadset)
[2019/01/19][16:02:24:133][WARNING]	: Sensors supplied duplicate data at time 30.4098 (classHeadset)
[2019/01/19][16:02:24:133][WARNING]	: Sensors supplied duplicate data at time 30.4131 (classHeadset)
[2019/01/19][16:02:24:133][WARNING]	: Sensors supplied duplicate data at time 30.4231 (classHeadset)
[2019/01/19][16:02:24:163][WARNING]	: Sensors supplied duplicate data at time 30.4331 (classHeadset)
[2019/01/19][16:02:24:163][WARNING]	: Sensors supplied duplicate data at time 30.4531 (classHeadset)
[2019/01/19][16:02:24:733][WARNING]	: Sensors supplied duplicate data at time 30.9964 (classHeadset)
[2019/01/19][16:02:25:094][WARNING]	: Some sensors supplied duplicate data at time 31.3831 (but not all sensors saw duplicates) (classHeadset)
[2019/01/19][16:02:25:124][WARNING]	: Some sensors supplied duplicate data at time 31.3864 (but not all sensors saw duplicates) (classHeadset)
[2019/01/19][16:02:25:124][WARNING]	: Some sensors supplied duplicate data at time 31.3898 (but not all sensors saw duplicates) (classHeadset)
[2019/01/19][16:02:25:124][WARNING]	: Some sensors supplied duplicate data at time 31.3998 (but not all sensors saw duplicates) (classHeadset)
[2019/01/19][16:02:25:154][WARNING]	: Sensors supplied duplicate data at time 31.4231 (classHeadset)
[2019/01/19][16:02:25:214][WARNING]	: Sensors supplied duplicate data at time 31.4798 (classHeadset)
[2019/01/19][16:02:25:214][WARNING]	: Sensors supplied duplicate data at time 31.4964 (classHeadset)
[2019/01/19][16:02:25:304][WARNING]	: Sensors supplied duplicate data at time 31.5698 (classHeadset)
[2019/01/19][16:02:25:334][WARNING]	: Sensors supplied duplicate data at time 31.6031 (classHeadset)
[2019/01/19][16:02:25:334][WARNING]	: Sensors supplied duplicate data at time 31.6064 (classHeadset)
[2019/01/19][16:02:25:334][WARNING]	: Sensors supplied duplicate data at time 31.6098 (classHeadset)
[2019/01/19][16:02:25:334][WARNING]	: Sensor 0 stuck at time 31.6131 (classHeadset)
[2019/01/19][16:02:25:334][WARNING]	: Sensor 1 stuck at time 31.6131 (classHeadset)
[2019/01/19][16:02:25:334][WARNING]	: Sensor 2 stuck at time 31.6131 (classHeadset)
[2019/01/19][16:02:25:334][WARNING]	: Sensor 3 stuck at time 31.6131 (classHeadset)
[2019/01/19][16:02:25:334][WARNING]	: Sensor 4 stuck at time 31.6131 (classHeadset)
[2019/01/19][16:02:25:334][WARNING]	: Sensor 5 stuck at time 31.6131 (classHeadset)
[2019/01/19][16:02:25:334][WARNING]	: Sensors supplied duplicate data at time 31.6131 (classHeadset)
[2019/01/19][16:02:25:334][WARNING]	: Sensor 0 stuck at time 31.6164 (classHeadset)
[2019/01/19][16:02:25:334][WARNING]	: Sensor 1 stuck at time 31.6164 (classHeadset)
[2019/01/19][16:02:25:334][WARNING]	: Sensor 2 stuck at time 31.6164 (classHeadset)
[2019/01/19][16:02:25:334][WARNING]	: Sensor 3 stuck at time 31.6164 (classHeadset)
[2019/01/19][16:02:25:334][WARNING]	: Sensor 4 stuck at time 31.6164 (classHeadset)
[2019/01/19][16:02:25:334][WARNING]	: Sensor 5 stuck at time 31.6164 (classHeadset)
[2019/01/19][16:02:25:334][WARNING]	: Sensors supplied duplicate data at time 31.6164 (classHeadset)
[2019/01/19][16:02:25:334][WARNING]	: Sensor 0 stuck at time 31.6198 (classHeadset)
[2019/01/19][16:02:25:334][WARNING]	: Sensor 1 stuck at time 31.6198 (classHeadset)
[2019/01/19][16:02:25:334][WARNING]	: Sensor 2 stuck at time 31.6198 (classHeadset)
[2019/01/19][16:02:25:334][WARNING]	: Sensor 3 stuck at time 31.6198 (classHeadset)
[2019/01/19][16:02:25:334][WARNING]	: Sensor 4 stuck at time 31.6198 (classHeadset)
[2019/01/19][16:02:25:334][WARNING]	: Sensor 5 stuck at time 31.6198 (classHeadset)
[2019/01/19][16:02:25:334][WARNING]	: Sensors supplied duplicate data at time 31.6198 (classHeadset)
[2019/01/19][16:02:25:394][WARNING]	: Sensors supplied duplicate data at time 31.6631 (classHeadset)
[2019/01/19][16:02:25:394][WARNING]	: Sensors supplied duplicate data at time 31.6664 (classHeadset)
[2019/01/19][16:02:25:394][WARNING]	: Sensors supplied duplicate data at time 31.6698 (classHeadset)
[2019/01/19][16:02:25:423][WARNING]	: Sensors supplied duplicate data at time 31.6898 (classHeadset)
[2019/01/19][16:02:25:423][WARNING]	: Sensors supplied duplicate data at time 31.7031 (classHeadset)
[2019/01/19][16:02:25:423][WARNING]	: Some sensors supplied duplicate data at time 31.7131 (but not all sensors saw duplicates) (classHeadset)
[2019/01/19][16:02:25:453][WARNING]	: Some sensors supplied duplicate data at time 31.7164 (but not all sensors saw duplicates) (classHeadset)
[2019/01/19][16:02:25:453][WARNING]	: Some sensors supplied duplicate data at time 31.7198 (but not all sensors saw duplicates) (classHeadset)
[2019/01/19][16:02:25:453][WARNING]	: Sensor 0 stuck at time 31.7231 (classHeadset)
[2019/01/19][16:02:25:453][WARNING]	: Sensor 2 stuck at time 31.7231 (classHeadset)
[2019/01/19][16:02:25:453][WARNING]	: Sensor 3 stuck at time 31.7231 (classHeadset)
[2019/01/19][16:02:25:453][WARNING]	: Sensor 4 stuck at time 31.7231 (classHeadset)
[2019/01/19][16:02:25:453][WARNING]	: Sensor 5 stuck at time 31.7231 (classHeadset)
[2019/01/19][16:02:25:453][WARNING]	: Some sensors supplied duplicate data at time 31.7231 (but not all sensors saw duplicates) (classHeadset)
[2019/01/19][16:02:25:453][WARNING]	: Sensor 0 stuck at time 31.7264 (classHeadset)
[2019/01/19][16:02:25:453][WARNING]	: Sensor 2 stuck at time 31.7264 (classHeadset)
[2019/01/19][16:02:25:453][WARNING]	: Sensor 3 stuck at time 31.7264 (classHeadset)
[2019/01/19][16:02:25:453][WARNING]	: Sensor 4 stuck at time 31.7264 (classHeadset)
[2019/01/19][16:02:25:453][WARNING]	: Sensor 5 stuck at time 31.7264 (classHeadset)
[2019/01/19][16:02:25:453][WARNING]	: Some sensors supplied duplicate data at time 31.7264 (but not all sensors saw duplicates) (classHeadset)
[2019/01/19][16:02:25:543][WARNING]	: Sensors supplied duplicate data at time 31.8131 (classHeadset)
[2019/01/19][16:02:25:635][WARNING]	: Sensors supplied duplicate data at time 31.9031 (classHeadset)
[2019/01/19][16:02:25:635][WARNING]	: Sensors supplied duplicate data at time 31.9198 (classHeadset)
[2019/01/19][16:02:25:635][WARNING]	: Some sensors supplied duplicate data at time 31.9231 (but not all sensors saw duplicates) (classHeadset)
[2019/01/19][16:02:25:665][WARNING]	: Some sensors supplied duplicate data at time 31.9264 (but not all sensors saw duplicates) (classHeadset)
[2019/01/19][16:02:25:665][WARNING]	: Some sensors supplied duplicate data at time 31.9431 (but not all sensors saw duplicates) (classHeadset)
[2019/01/19][16:02:25:665][WARNING]	: Some sensors supplied duplicate data at time 31.9531 (but not all sensors saw duplicates) (classHeadset)
[2019/01/19][16:02:25:695][WARNING]	: Some sensors supplied duplicate data at time 31.9564 (but not all sensors saw duplicates) (classHeadset)
[2019/01/19][16:02:25:725][WARNING]	: Some sensors supplied duplicate data at time 31.9931 (but not all sensors saw duplicates) (classHeadset)
[2019/01/19][16:02:25:725][WARNING]	: Some sensors supplied duplicate data at time 31.9964 (but not all sensors saw duplicates) (classHeadset)
[2019/01/19][16:02:25:738][WARNING]	: Duplicate record detected: 31.506422,
[2019/01/19][16:02:25:738][WARNING]	: Duplicate record detected: 31.506422,
[2019/01/19][16:02:25:755][WARNING]	: Some sensors supplied duplicate data at time 32.0164 (but not all sensors saw duplicates) (classHeadset)
[2019/01/19][16:02:25:755][WARNING]	: Sensors supplied duplicate data at time 32.0231 (classHeadset)
[2019/01/19][16:02:25:755][WARNING]	: Sensors supplied duplicate data at time 32.0264 (classHeadset)
[2019/01/19][16:02:25:759][WARNING]	: Duplicate record detected: 31.523088,
[2019/01/19][16:02:25:759][WARNING]	: Duplicate record detected: 31.523088,
[2019/01/19][16:02:25:759][WARNING]	: Duplicate record detected: 31.539755,
[2019/01/19][16:02:25:759][WARNING]	: Duplicate record detected: 31.539755,
[2019/01/19][16:02:25:817][WARNING]	: Duplicate record detected: 31.599755,
[2019/01/19][16:02:25:817][WARNING]	: Duplicate record detected: 31.599755,
[2019/01/19][16:02:25:844][WARNING]	: Sensors supplied duplicate data at time 32.1064 (classHeadset)
[2019/01/19][16:02:25:848][WARNING]	: Duplicate record detected: 31.616422,
[2019/01/19][16:02:25:848][WARNING]	: Duplicate record detected: 31.616422,
[2019/01/19][16:02:25:876][WARNING]	: Duplicate record detected: 31.633088,
[2019/01/19][16:02:25:876][WARNING]	: Duplicate record detected: 31.633088,
[2019/01/19][16:02:25:876][WARNING]	: Duplicate record detected: 31.649755,
[2019/01/19][16:02:25:876][WARNING]	: Duplicate record detected: 31.649755,
[2019/01/19][16:02:25:904][WARNING]	: Sensors supplied duplicate data at time 32.1664 (classHeadset)
[2019/01/19][16:02:25:908][WARNING]	: Duplicate record detected: 31.663088,
[2019/01/19][16:02:25:908][WARNING]	: Duplicate record detected: 31.663088,
[2019/01/19][16:02:25:908][WARNING]	: Duplicate record detected: 31.679755,
[2019/01/19][16:02:25:908][WARNING]	: Duplicate record detected: 31.679755,
[2019/01/19][16:02:25:938][WARNING]	: Duplicate record detected: 31.696422,
[2019/01/19][16:02:25:938][WARNING]	: Duplicate record detected: 31.696422,
[2019/01/19][16:02:25:998][WARNING]	: Duplicate record detected: 31.756422,
[2019/01/19][16:02:25:998][WARNING]	: Duplicate record detected: 31.756422,
[2019/01/19][16:02:25:998][WARNING]	: Duplicate record detected: 31.773088,
[2019/01/19][16:02:25:998][WARNING]	: Duplicate record detected: 31.773088,
[2019/01/19][16:02:26:028][WARNING]	: Duplicate record detected: 31.789755,
[2019/01/19][16:02:26:028][WARNING]	: Duplicate record detected: 31.789755,
[2019/01/19][16:02:26:053][WARNING]	: Sensors supplied duplicate data at time 32.3331 (classHeadset)
[2019/01/19][16:02:26:085][WARNING]	: Duplicate record detected: 31.849755,
[2019/01/19][16:02:26:085][WARNING]	: Duplicate record detected: 31.849755,
[2019/01/19][16:02:26:085][WARNING]	: Duplicate record detected: 31.866422,
[2019/01/19][16:02:26:085][WARNING]	: Duplicate record detected: 31.866422,
