API v2.0.0
Time,P4,Fz,Pz,P3,PO8,PO7,Oz,Trial,Num_Sequences,Sequence,Tag,Label,Flash_Event
0.615789,-688.086000,-90.803831,-681.794128,-852.588636,-642.290193,-146.570282,-897.776482,-1,-1,-1,-1,-1,-1
0.619792,-692.601000,-77.000977,-684.211838,-855.605434,-648.900426,-142.389847,-920.864067,-1,-1,-1,-1,-1,-1
0.623771,-694.407000,-84.812831,-685.118999,-858.010715,-648.311874,-140.897578,-923.868298,-1,-1,-1,-1,-1,-1
0.627761,-698.922000,-92.631051,-685.739030,-858.930029,-654.622788,-146.312106,-920.594795,-1,-1,-1,-1,-1,-1
0.631748,-685.678000,-88.395831,-682.981483,-856.473087,-627.310795,-161.553152,-913.341951,-1,-1,-1,-1,-1,-1
0.635762,-668.822000,-74.242466,-672.417355,-845.909537,-607.162286,-142.298411,-890.195237,-1,-1,-1,-1,-1,-1
0.639725,-687.484000,-76.088075,-684.487871,-849.889153,-644.382064,-129.476939,-912.152373,-1,-1,-1,-1,-1,-1
0.643716,-705.243000,-90.543855,-692.060030,-854.164330,-673.515186,-128.945541,-923.620659,-1,-1,-1,-1,-1,-1
0.647713,-698.320000,-90.527587,-686.335482,-851.436297,-656.714659,-133.716402,-914.600754,-1,-1,-1,-1,-1,-1
0.651694,-687.785000,-84.797270,-676.699321,-841.500578,-640.492598,-125.280301,-902.867523,-1,-1,-1,-1,-1,-1
0.655682,-679.959000,-81.775953,-677.562096,-844.161996,-631.469322,-133.645800,-896.239754,-1,-1,-1,-1,-1,-1
0.659692,-682.367000,-78.178099,-679.970096,-845.671074,-643.156211,-139.352069,-900.445101,-1,-1,-1,-1,-1,-1
0.663662,-670.026000,-72.143246,-666.430645,-839.322884,-628.719978,-132.708078,-877.919135,-1,-1,-1,-1,-1,-1
0.667657,-670.327000,-74.846588,-671.525452,-842.620289,-624.231874,-126.112699,-900.087856,-1,-1,-1,-1,-1,-1
0.671644,-675.143000,-77.260246,-678.139129,-846.237727,-637.428806,-133.027597,-902.207836,-1,-1,-1,-1,-1,-1
0.675633,-670.929000,-76.950051,-676.621646,-847.117616,-618.248856,-139.008245,-891.703121,-1,-1,-1,-1,-1,-1
0.679622,-672.735000,-67.945514,-677.528807,-849.822537,-621.252132,-148.310310,-911.183033,-1,-1,-1,-1,-1,-1
0.683610,-694.106000,-87.514758,-697.701355,-866.399289,-665.670695,-162.185245,-936.148727,-1,-1,-1,-1,-1,-1
0.687598,-674.240000,-69.750807,-685.924905,-853.425021,-638.621039,-145.917356,-903.102183,-1,-1,-1,-1,-1,-1
0.691588,-683.571000,-74.577416,-691.960162,-858.860694,-644.659530,-142.954810,-930.706210,-1,-1,-1,-1,-1,-1
0.695580,-681.163000,-68.265611,-684.458742,-856.153054,-644.945401,-152.240671,-917.214571,-1,-1,-1,-1,-1,-1
0.699567,-692.300000,-77.300562,-693.198839,-859.799041,-662.068781,-157.380819,-932.245822,-1,-1,-1,-1,-1,-1
0.703559,-684.173000,-83.887905,-681.476483,-850.773120,-638.377193,-140.858226,-908.242257,-1,-1,-1,-1,-1,-1
0.707550,-676.949000,-85.972978,-679.046291,-845.646603,-640.132763,-132.135013,-908.806761,-1,-1,-1,-1,-1,-1
0.711550,-673.939000,-91.371173,-677.534355,-839.939839,-628.143193,-117.730995,-906.395877,-1,-1,-1,-1,-1,-1
0.715530,-678.755000,-95.286295,-681.151904,-851.647570,-626.673494,-141.736921,-908.515856,-1,-1,-1,-1,-1,-1
0.719521,-667.618000,-85.350466,-673.011033,-849.799426,-606.856243,-156.986069,-890.189468,-1,-1,-1,-1,-1,-1
0.723522,-684.173000,-80.584685,-677.881128,-845.079950,-657.533609,-136.360587,-907.942700,-1,-1,-1,-1,-1,-1
0.727494,-687.183000,-87.798783,-687.782226,-851.385996,-653.958591,-157.660985,-905.261101,-1,-1,-1,-1,-1,-1
0.731487,-683.270000,-103.404808,-688.962646,-851.967603,-631.787132,-162.143578,-901.947216,-1,-1,-1,-1,-1,-1
